project,key,type,severity,rule,rule_name,file,line,message,effort,tags
Foster,eebe3b2f-9852-4e4c-93b9-b51e7920d294,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,605,Make this native method private and provide a wrapper.,30min,pitfall
Foster,4707ac90-cd64-4681-a081-488e9e8f6657,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,609,Make this native method private and provide a wrapper.,30min,pitfall
Foster,a6214f95-f9ed-47b0-9515-cd68dd6c5669,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,609,P/Invoke method 'SDL_BroadcastCondition' should not be visible,0min,
Foster,08a6a57c-a1fb-4f38-8421-cd174d59a3f4,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,613,Make this native method private and provide a wrapper.,30min,pitfall
Foster,7bd4097f-6839-4326-a907-f15020e7c0c5,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,613,P/Invoke method 'SDL_WaitCondition' should not be visible,0min,
Foster,1ad64205-f4f7-4b28-8b00-73de7b23b11c,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,617,Make this native method private and provide a wrapper.,30min,pitfall
Foster,e2d2e445-bba8-4fbb-86ad-64044cc05d64,CODE_SMELL,INFO,external_roslyn:CA1401,external_roslyn:CA1401,Foster:Framework/Internal/SDL3.cs,617,P/Invoke method 'SDL_WaitConditionTimeout' should not be visible,0min,
Foster,90161eaa-e7f7-45be-8b75-f7aca6826025,CODE_SMELL,MINOR,csharpsquid:S2342,csharpsquid:S2342,Foster:Framework/Internal/SDL3.cs,619,"Rename this enumeration to match the regular expression: '^([A-Z]{1,3}[a-z0-9]+)*([A-Z]{2})?$'.",5min,convention
Foster,b6d3d345-02a7-4ebd-8415-ab7159d0fa57,CODE_SMELL,MINOR,csharpsquid:S101,csharpsquid:S101,Foster:Framework/Internal/SDL3.cs,628,"Rename struct 'SDL_InitState' to match pascal case naming rules, consider using 'SdlInitState'.",5min,convention
Foster,69d6bf55-6436-4565-b0e7-26a827a8121b,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,637,Make this native method private and provide a wrapper.,30min,pitfall
Foster,450e5104-4de3-4d69-bf47-bbd3f770e0af,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,641,Make this native method private and provide a wrapper.,30min,pitfall
Foster,bf99e230-805b-4546-8f10-547690b2740d,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,645,Make this native method private and provide a wrapper.,30min,pitfall
Foster,0d86135c-4ea8-4b71-939b-35672a8057d8,CODE_SMELL,MINOR,csharpsquid:S2342,csharpsquid:S2342,Foster:Framework/Internal/SDL3.cs,658,"Rename this enumeration to match the regular expression: '^([A-Z]{1,3}[a-z0-9]+)*([A-Z]{2})?$'.",5min,convention
Foster,dce7c82d-22ca-41db-b1e4-8926508da129,CODE_SMELL,MINOR,csharpsquid:S2342,csharpsquid:S2342,Foster:Framework/Internal/SDL3.cs,668,"Rename this enumeration to match the regular expression: '^([A-Z]{1,3}[a-z0-9]+)*([A-Z]{2})?$'.",5min,convention
Foster,9768568a-da01-417b-b429-40d27348f41a,CODE_SMELL,MINOR,csharpsquid:S101,csharpsquid:S101,Foster:Framework/Internal/SDL3.cs,676,"Rename struct 'SDL_IOStreamInterface' to match pascal case naming rules, consider using 'SdlIoStreamInterface'.",5min,convention
Foster,373bab1c-8812-4fea-abf8-922056ffe7ab,CODE_SMELL,MAJOR,csharpsquid:S4200,csharpsquid:S4200,Foster:Framework/Internal/SDL3.cs,689,Make this native method private and provide a wrapper.,30min,pitfall
